0.133333 2
0.8 10 0.995744
0.8 12 0.995744
0.8 14 0.995745
0.8 16 0.995745
0.8 18 0.995746
0.8 20 0.995747
0.8 22 0.995748
0.8 24 0.995749
0.8 26 0.99575
0.8 28 0.995751
0.8 30 0.995751
0.8 32 0.995753
0.8 34 0.995754
0.8 36 0.995754
0.8 38 0.995755
0.8 40 0.995755
0.8 42 0.995756
0.8 44 0.995756
0.8 46 0.995756
0.8 48 0.995756
0.8 50 0.995755
0.8 52 0.995754
0.8 54 0.995752
0.8 56 0.995751
0.8 58 0.995749
0.8 60 0.995747
0.8 62 0.995744
0.8 64 0.995741
0.8 66 0.995737
0.8 68 0.995734
0.8 70 0.995731
0.8 72 0.995729
0.8 74 0.995726
0.8 76 0.995723
0.8 78 0.995721
0.8 80 0.995718
0.8 82 0.995715
0.8 84 0.995713
0.8 86 0.995712
0.8 88 0.995712
0.8 90 0.995711
0.933333 0 0.994124
0.933333 2 0.994124
0.933333 4 0.994125
0.933333 6 0.994125
0.933333 8 0.994125
0.933333 10 0.994126
0.933333 12 0.994126
0.933333 14 0.994127
0.933333 16 0.994128
0.933333 18 0.994129
0.933333 20 0.99413
0.933333 22 0.994131
0.933333 24 0.994132
0.933333 26 0.994134
0.933333 28 0.994135
0.933333 30 0.994136
0.933333 32 0.994138
0.933333 34 0.994138
0.933333 36 0.994139
0.933333 38 0.994139
0.933333 40 0.994139
0.933333 42 0.994139
0.933333 44 0.994137
0.933333 46 0.994135
0.933333 48 0.994132
0.933333 50 0.994128
0.933333 52 0.994124
0.933333 54 0.994118
0.933333 56 0.994111
0.933333 58 0.994104
0.933333 60 0.994096
0.933333 62 0.994088
0.933333 64 0.994079
0.933333 66 0.994069
0.933333 68 0.994059
0.933333 70 0.994049
0.933333 72 0.99404
0.933333 74 0.994032
0.933333 76 0.994024
0.933333 78 0.994016
0.933333 80 0.994009
0.933333 82 0.994003
0.933333 84 0.993999
0.933333 86 0.993995
0.933333 88 0.993994
0.933333 90 0.993993
1.06667 0 0.992578
1.06667 2 0.992578
1.06667 4 0.992578
1.06667 6 0.992579
1.06667 8 0.992579
1.06667 10 0.99258
1.06667 12 0.992581
1.06667 14 0.992582
1.06667 16 0.992583
1.06667 18 0.992584
1.06667 20 0.992586
1.06667 22 0.992587
1.06667 24 0.992589
1.06667 26 0.992591
1.06667 28 0.992593
1.06667 30 0.992594
1.06667 32 0.992595
1.06667 34 0.992595
1.06667 36 0.992595
1.06667 38 0.992593
1.06667 40 0.992591
1.06667 42 0.992587
1.06667 44 0.992581
1.06667 46 0.992575
1.06667 48 0.992566
1.06667 50 0.992555
1.06667 52 0.992543
1.06667 54 0.99253
1.06667 56 0.992514
1.06667 58 0.992497
1.06667 60 0.99248
1.06667 62 0.992462
1.06667 64 0.992443
1.06667 66 0.992424
1.06667 68 0.992406
1.06667 70 0.992389
1.06667 72 0.992372
1.06667 74 0.992357
1.06667 76 0.992342
1.06667 78 0.992329
1.06667 80 0.992318
1.06667 82 0.992309
1.06667 84 0.992302
1.06667 86 0.992298
1.06667 88 0.992295
1.06667 90 0.992294
1.2 0 0.991216
1.2 2 0.991215
1.2 4 0.991216
1.2 6 0.991216
1.2 8 0.991217
1.2 10 0.991217
1.2 12 0.991219
1.2 14 0.99122
1.2 16 0.991221
1.2 18 0.991224
1.2 20 0.991225
1.2 22 0.991228
1.2 24 0.99123
1.2 26 0.991232
1.2 28 0.991233
1.2 30 0.991233
1.2 32 0.991233
1.2 34 0.991232
1.2 36 0.991228
1.2 38 0.991223
1.2 40 0.991216
1.2 42 0.991207
1.2 44 0.991194
1.2 46 0.991179
1.2 48 0.991162
1.2 50 0.991141
1.2 52 0.991118
1.2 54 0.991094
1.2 56 0.991068
1.2 58 0.991041
1.2 60 0.991014
1.2 62 0.990988
1.2 64 0.990962
1.2 66 0.990937
1.2 68 0.990914
1.2 70 0.990894
1.2 72 0.990874
1.2 74 0.990856
1.2 76 0.990842
1.2 78 0.990829
1.2 80 0.990818
1.2 82 0.990809
1.2 84 0.990802
1.2 86 0.990797
1.2 88 0.990794
1.2 90 0.990793
1.33333 0 0.990134
1.33333 2 0.990135
1.33333 4 0.990135
1.33333 6 0.990136
1.33333 8 0.990136
1.33333 10 0.990138
1.33333 12 0.990139
1.33333 14 0.990141
1.33333 16 0.990143
1.33333 18 0.990145
1.33333 20 0.990148
1.33333 22 0.99015
1.33333 24 0.990152
1.33333 26 0.990153
1.33333 28 0.990154
1.33333 30 0.990153
1.33333 32 0.990151
1.33333 34 0.990146
1.33333 36 0.990138
1.33333 38 0.990128
1.33333 40 0.990113
1.33333 42 0.990096
1.33333 44 0.990074
1.33333 46 0.990049
1.33333 48 0.990021
1.33333 50 0.989992
1.33333 52 0.98996
1.33333 54 0.989929
1.33333 56 0.989897
1.33333 58 0.989867
1.33333 60 0.989839
1.33333 62 0.989813
1.33333 64 0.989789
1.33333 66 0.989769
1.33333 68 0.989749
1.33333 70 0.989733
1.33333 72 0.98972
1.33333 74 0.989707
1.33333 76 0.989698
1.33333 78 0.98969
1.33333 80 0.989683
1.33333 82 0.989677
1.33333 84 0.989673
1.33333 86 0.98967
1.33333 88 0.989668
1.33333 90 0.989668
1.46667 0 0.989416
1.46667 2 0.989415
1.46667 4 0.989416
1.46667 6 0.989416
1.46667 8 0.989417
1.46667 10 0.989419
1.46667 12 0.98942
1.46667 14 0.989423
1.46667 16 0.989425
1.46667 18 0.989428
1.46667 20 0.989431
1.46667 22 0.989433
1.46667 24 0.989435
1.46667 26 0.989435
1.46667 28 0.989434
1.46667 30 0.989431
1.46667 32 0.989425
1.46667 34 0.989415
1.46667 36 0.989401
1.46667 38 0.989384
1.46667 40 0.989362
1.46667 42 0.989335
1.46667 44 0.989306
