1.11111 30
0 0 1.0177
0 30 1.0177
0 60 1.0177
0 90 1.0177
1.11111 0 1.01725
1.11111 30 1.01779
1.11111 60 1.01825
1.11111 90 1.01835
2.22222 0 1.01391
2.22222 30 1.01816
2.22222 60 1.0187
2.22222 90 1.0188
3.33333 0 1.00882
3.33333 30 1.0183
3.33333 60 1.019
3.33333 90 1.01988
4.44444 0 1.00674
4.44444 30 1.01321
4.44444 60 1.01464
4.44444 90 1.01572
5.55556 0 1.00655
5.55556 30 1.00838
5.55556 60 1.00915
5.55556 90 1.00954
6.66667 0 1.00655
6.66667 30 1.00687
6.66667 60 1.00706
6.66667 90 1.00714
7.77778 0 1.00655
7.77778 30 1.0066
7.77778 60 1.00664
7.77778 90 1.00666
8.88889 0 1.00655
8.88889 30 1.00656
8.88889 60 1.00657
8.88889 90 1.00657
10 0 1.00655
10 30 1.00655
10 60 1.00655
10 90 1.00655
11.1111 0 1.00655
11.1111 30 1.00655
11.1111 60 1.00655
11.1111 90 1.00655
12.2222 0 1.00655
12.2222 30 1.00655
12.2222 60 1.00655
12.2222 90 1.00655
13.3333 0 1.00655
13.3333 30 1.00655
13.3333 60 1.00655
13.3333 90 1.00655
14.4444 0 1.00655
14.4444 30 1.00655
14.4444 60 1.00655
14.4444 90 1.00655
15.5556 0 1.00655
15.5556 30 1.00655
15.5556 60 1.00655
15.5556 90 1.00655
16.6667 0 1.00655
16.6667 30 1.00655
16.6667 60 1.00655
16.6667 90 1.00655
17.7778 0 1.00655
17.7778 30 1.00655
17.7778 60 1.00655
17.7778 90 1.00655
18.8889 0 1.00655
18.8889 30 1.00655
18.8889 60 1.00655
18.8889 90 1.00655
20 0 1.00655
20 30 1.00655
20 60 1.00655
20 90 1.00655
