0.2 5
0 0 1.16339
0 5 1.16339
0 10 1.16339
0 15 1.16339
0 20 1.16339
0 25 1.16339
0 30 1.16339
0 35 1.16339
0 40 1.16339
0 45 1.16339
0 50 1.16339
0 55 1.16339
0 60 1.16339
0 65 1.16339
0 70 1.16339
0 75 1.16339
0 80 1.16339
0 85 1.16339
0 90 1.16339
0.2 0 1.15976
0.2 5 1.15976
0.2 10 1.15976
0.2 15 1.15976
0.2 20 1.15976
0.2 25 1.15976
0.2 30 1.15977
0.2 35 1.15977
0.2 40 1.15977
0.2 45 1.15977
0.2 50 1.15977
0.2 55 1.15977
0.2 60 1.15977
0.2 65 1.15977
0.2 70 1.15978
0.2 75 1.15978
0.2 80 1.15978
0.2 85 1.15978
0.2 90 1.15978
0.4 0 1.14932
0.4 5 1.14932
0.4 10 1.14933
0.4 15 1.14933
0.4 20 1.14933
0.4 25 1.14933
0.4 30 1.14934
0.4 35 1.14934
0.4 40 1.14935
0.4 45 1.14935
0.4 50 1.14936
0.4 55 1.14936
0.4 60 1.14937
0.4 65 1.14937
0.4 70 1.14938
0.4 75 1.14938
0.4 80 1.14938
0.4 85 1.14938
0.4 90 1.14938
0.6 0 1.13327
0.6 5 1.13327
0.6 10 1.13328
0.6 15 1.13328
0.6 20 1.13329
0.6 25 1.1333
0.6 30 1.13331
0.6 35 1.13332
0.6 40 1.13333
0.6 45 1.13334
0.6 50 1.13335
0.6 55 1.13336
0.6 60 1.13337
0.6 65 1.13337
0.6 70 1.13338
0.6 75 1.13339
0.6 80 1.13339
0.6 85 1.13339
0.6 90 1.13339
0.8 0 1.11331
0.8 5 1.11331
0.8 10 1.11332
0.8 15 1.11333
0.8 20 1.11334
0.8 25 1.11335
0.8 30 1.11337
0.8 35 1.11339
0.8 40 1.1134
0.8 45 1.11342
0.8 50 1.11343
0.8 55 1.11345
0.8 60 1.11346
0.8 65 1.11347
0.8 70 1.11348
0.8 75 1.11349
0.8 80 1.1135
0.8 85 1.1135
0.8 90 1.1135
1 0 1.09132
1 5 1.09132
1 10 1.09133
1 15 1.09134
1 20 1.09136
1 25 1.09138
1 30 1.0914
1 35 1.09142
1 40 1.09144
1 45 1.09146
1 50 1.09149
1 55 1.09151
1 60 1.09153
1 65 1.09155
1 70 1.09156
1 75 1.09158
1 80 1.09159
1 85 1.0916
1 90 1.0916
1.2 0 1.06903
1.2 5 1.06903
1.2 10 1.06904
1.2 15 1.06906
1.2 20 1.06908
1.2 25 1.06911
1.2 30 1.06913
1.2 35 1.06916
1.2 40 1.06919
1.2 45 1.06922
1.2 50 1.06925
1.2 55 1.06928
1.2 60 1.06931
1.2 65 1.06934
1.2 70 1.06938
1.2 75 1.06941
1.2 80 1.06943
1.2 85 1.06944
1.2 90 1.06945
1.4 0 1.04786
1.4 5 1.04786
1.4 10 1.04788
1.4 15 1.0479
1.4 20 1.04792
1.4 25 1.04795
1.4 30 1.04798
1.4 35 1.04801
1.4 40 1.04805
1.4 45 1.04809
1.4 50 1.04813
1.4 55 1.04818
1.4 60 1.04824
1.4 65 1.0483
1.4 70 1.04836
1.4 75 1.04841
1.4 80 1.04846
1.4 85 1.04848
1.4 90 1.04849
1.6 0 1.02879
1.6 5 1.0288
1.6 10 1.02881
1.6 15 1.02883
1.6 20 1.02886
1.6 25 1.02889
1.6 30 1.02893
1.6 35 1.02896
1.6 40 1.02901
1.6 45 1.02906
1.6 50 1.02912
1.6 55 1.0292
1.6 60 1.0293
1.6 65 1.0294
1.6 70 1.0295
1.6 75 1.02959
1.6 80 1.02967
1.6 85 1.02971
1.6 90 1.02973
1.8 0 1.01238
1.8 5 1.01239
1.8 10 1.01241
1.8 15 1.01243
1.8 20 1.01246
1.8 25 1.01249
1.8 30 1.01253
1.8 35 1.01257
1.8 40 1.01262
1.8 45 1.01269
1.8 50 1.01279
1.8 55 1.0129
1.8 60 1.01304
1.8 65 1.01319
1.8 70 1.01334
1.8 75 1.01348
1.8 80 1.01359
1.8 85 1.01366
1.8 90 1.01368
2 0 0.99883
2 5 0.998836
2 10 0.998853
2 15 0.998878
2 20 0.998907
2 25 0.998939
2 30 0.998975
2 35 0.999021
2 40 0.999086
2 45 0.999179
2 50 0.999305
2 55 0.999464
2 60 0.999649
2 65 0.999848
2 70 1.00004
2 75 1.00022
2 80 1.00036
2 85 1.00045
2 90 1.00048
2.2 0 0.988042
2.2 5 0.988048
2.2 10 0.988065
2.2 15 0.988089
2.2 20 0.988116
2.2 25 0.988147
2.2 30 0.988183
2.2 35 0.988235
2.2 40 0.988314
2.2 45 0.988429
2.2 50 0.988585
2.2 55 0.988779
2.2 60 0.989002
2.2 65 0.989237
2.2 70 0.989465
2.2 75 0.989666
2.2 80 0.989824
2.2 85 0.989924
2.2 90 0.989958
2.4 0 0.979751
2.4 5 0.979756
2.4 10 0.979772
2.4 15 0.979794
2.4 20 0.979819
2.4 25 0.979847
2.4 30 0.979884
2.4 35 0.979941
2.4 40 0.980031
2.4 45 0.980163
2.4 50 0.980341
2.4 55 0.980557
2.4 60 0.9808
2.4 65 0.981051
2.4 70 0.98129
2.4 75 0.981499
2.4 80 0.98166
2.4 85 0.981762
2.4 90 0.981797
2.6 0 0.973582
2.6 5 0.973588
2.6 10 0.973602
2.6 15 0.973621
2.6 20 0.973643
2.6 25 0.973668
2.6 30 0.973705
2.6 35 0.973766
2.6 40 0.973863
2.6 45 0.974005
2.6 50 0.974191
2.6 55 0.974413
2.6 60 0.974656
2.6 65 0.974901
2.6 70 0.97513
2.6 75 0.975327
2.6 80 0.975478
2.6 85 0.975573
2.6 90 0.975605
2.8 0 0.969134
2.8 5 0.969138
2.8 10 0.96915
2.8 15 0.969167
2.8 20 0.969185
2.8 25 0.969208
2.8 30 0.969244
2.8 35 0.969306
2.8 40 0.969406
2.8 45 0.969547
2.8 50 0.969729
2.8 55 0.969939
2.8 60 0.970163
2.8 65 0.970384
2.8 70 0.970588
2.8 75 0.97076
2.8 80 0.97089
2.8 85 0.970972
2.8 90 0.970999
3 0 0.966016
3 5 0.96602
3 10 0.96603
3 15 0.966044
3 20 0.966059
3 25 0.966079
3 30 0.966114
3 35 0.966174
3 40 0.96627
3 45 0.966403
3 50 0.966568
3 55 0.966753
3 60 0.966947
3 65 0.967133
3 70 0.967302
3 75 0.967443
3 80 0.967548
3 85 0.967613
3 90 0.967635
3.2 0 0.963889
3.2 5 0.963893
3.2 10 0.963901
3.2 15 0.963912
3.2 20 0.963924
3.2 25 0.963942
3.2 30 0.963974
3.2 35 0.96403
3.2 40 0.964118
3.2 45 0.964235
3.2 50 0.964376
3.2 55 0.96453
3.2 60 0.964687
3.2 65 0.964835
3.2 70 0.964967
3.2 75 0.965075
3.2 80 0.965156
3.2 85 0.965205
3.2 90 0.965222
3.4 0 0.962474
3.4 5 0.962476
3.4 10 0.962483
3.4 15 0.962491
3.4 20 0.962501
3.4 25 0.962516
3.4 30 0.962545
3.4 35 0.962595
3.4 40 0.962671
3.4 45 0.962769
3.4 50 0.962883
3.4 55 0.963005
3.4 60 0.963125
3.4 65 0.963237
3.4 70 0.963335
3.4 75 0.963415
3.4 80 0.963473
3.4 85 0.963509
3.4 90 0.963521
3.6 0 0.961551
3.6 5 0.961553
3.6 10 0.961558
3.6 15 0.961565
3.6 20 0.961572
3.6 25 0.961585
3.6 30 0.96161
3.6 35 0.961653
3.6 40 0.961716
3.6 45 0.961794
3.6 50 0.961882
3.6 55 0.961974
3.6 60 0.962062
3.6 65 0.962143
3.6 70 0.962213
3.6 75 0.962269
3.6 80 0.96231
3.6 85 0.962335
3.6 90 0.962344
3.8 0 0.960961
3.8 5 0.960963
3.8 10 0.960967
3.8 15 0.960971
3.8 20 0.960977
3.8 25 0.960988
3.8 30 0.961009
3.8 35 0.961045
3.8 40 0.961094
3.8 45 0.961154
3.8 50 0.961219
3.8 55 0.961285
3.8 60 0.961348
3.8 65 0.961405
3.8 70 0.961453
3.8 75 0.961491
3.8 80 0.961519
3.8 85 0.961536
3.8 90 0.961542
4 0 0.96059
4 5 0.960591
4 10 0.960594
4 15 0.960597
4 20 0.960602
4 25 0.960611
4 30 0.960628
4 35 0.960656
4 40 0.960694
4 45 0.960738
4 50 0.960785
4 55 0.960831
4 60 0.960874
