Fit FA02

   PI+P  Scattering Amplitudes(fm) at ACM =    0.00
     TLAB        ReF         ImF         ReG         ImG
 3250.00 -0.4373E+00  0.1356E+01  0.0000E+00  0.0000E+00
 3300.00 -0.4390E+00  0.1365E+01  0.0000E+00  0.0000E+00
 3350.00 -0.4412E+00  0.1373E+01  0.0000E+00  0.0000E+00
 3400.00 -0.4435E+00  0.1382E+01  0.0000E+00  0.0000E+00
 3450.00 -0.4456E+00  0.1390E+01  0.0000E+00  0.0000E+00
 3500.00 -0.4477E+00  0.1399E+01  0.0000E+00  0.0000E+00
 3550.00 -0.4499E+00  0.1406E+01  0.0000E+00  0.0000E+00
 3600.00 -0.4521E+00  0.1413E+01  0.0000E+00  0.0000E+00
 3650.00 -0.4542E+00  0.1420E+01  0.0000E+00  0.0000E+00
 3700.00 -0.4561E+00  0.1426E+01  0.0000E+00  0.0000E+00
 3750.00 -0.4580E+00  0.1433E+01  0.0000E+00  0.0000E+00
 3800.00 -0.4598E+00  0.1440E+01  0.0000E+00  0.0000E+00
 3850.00 -0.4616E+00  0.1446E+01  0.0000E+00  0.0000E+00
 3900.00 -0.4621E+00  0.1453E+01  0.0000E+00  0.0000E+00
 3950.00 -0.4622E+00  0.1459E+01  0.0000E+00  0.0000E+00
 4000.00 -0.4623E+00  0.1466E+01  0.0000E+00  0.0000E+00

    KH80   KARLSRUHE (1980) SOLUTION .02-10 GEV/C ARNDT 2/86        
   PI-P  Scattering Amplitudes(fm) at ACM =    0.00
     TLAB        ReF         ImF         ReG         ImG
 1800.00 -0.1088E+00  0.1239E+01  0.0000E+00  0.0000E+00
 1850.00 -0.1259E+00  0.1271E+01  0.0000E+00  0.0000E+00
 1900.00 -0.1481E+00  0.1288E+01  0.0000E+00  0.0000E+00
 1950.00 -0.1636E+00  0.1304E+01  0.0000E+00  0.0000E+00
 2000.00 -0.1778E+00  0.1313E+01  0.0000E+00  0.0000E+00
 2050.00 -0.1945E+00  0.1325E+01  0.0000E+00  0.0000E+00
 2100.00 -0.2050E+00  0.1333E+01  0.0000E+00  0.0000E+00
 2150.00 -0.2130E+00  0.1340E+01  0.0000E+00  0.0000E+00
 2200.00 -0.2261E+00  0.1345E+01  0.0000E+00  0.0000E+00
 2250.00 -0.2296E+00  0.1346E+01  0.0000E+00  0.0000E+00
 2300.00 -0.2323E+00  0.1347E+01  0.0000E+00  0.0000E+00
 2350.00 -0.2351E+00  0.1351E+01  0.0000E+00  0.0000E+00
 2400.00 -0.2379E+00  0.1358E+01  0.0000E+00  0.0000E+00
 2450.00 -0.2381E+00  0.1365E+01  0.0000E+00  0.0000E+00
 2500.00 -0.2356E+00  0.1372E+01  0.0000E+00  0.0000E+00
 2550.00 -0.2331E+00  0.1380E+01  0.0000E+00  0.0000E+00
 2600.00 -0.2304E+00  0.1386E+01  0.0000E+00  0.0000E+00
 2650.00 -0.2312E+00  0.1397E+01  0.0000E+00  0.0000E+00
 2700.00 -0.2330E+00  0.1409E+01  0.0000E+00  0.0000E+00
 2750.00 -0.2345E+00  0.1420E+01  0.0000E+00  0.0000E+00
 2800.00 -0.2358E+00  0.1432E+01  0.0000E+00  0.0000E+00
 2850.00 -0.2368E+00  0.1443E+01  0.0000E+00  0.0000E+00
 2900.00 -0.2393E+00  0.1452E+01  0.0000E+00  0.0000E+00
 2950.00 -0.2424E+00  0.1461E+01  0.0000E+00  0.0000E+00
 3000.00 -0.2453E+00  0.1470E+01  0.0000E+00  0.0000E+00
 3050.00 -0.2481E+00  0.1479E+01  0.0000E+00  0.0000E+00
 3100.00 -0.2508E+00  0.1488E+01  0.0000E+00  0.0000E+00
 3150.00 -0.2533E+00  0.1497E+01  0.0000E+00  0.0000E+00
 3200.00 -0.2557E+00  0.1505E+01  0.0000E+00  0.0000E+00
 3250.00 -0.2580E+00  0.1514E+01  0.0000E+00  0.0000E+00
 3300.00 -0.2575E+00  0.1521E+01  0.0000E+00  0.0000E+00
 3350.00 -0.2560E+00  0.1528E+01  0.0000E+00  0.0000E+00
 3400.00 -0.2546E+00  0.1534E+01  0.0000E+00  0.0000E+00
 3450.00 -0.2531E+00  0.1541E+01  0.0000E+00  0.0000E+00
 3500.00 -0.2516E+00  0.1547E+01  0.0000E+00  0.0000E+00
 3550.00 -0.2529E+00  0.1553E+01  0.0000E+00  0.0000E+00
 3600.00 -0.2550E+00  0.1558E+01  0.0000E+00  0.0000E+00
 3650.00 -0.2571E+00  0.1563E+01  0.0000E+00  0.0000E+00
 3700.00 -0.2592E+00  0.1568E+01  0.0000E+00  0.0000E+00
 3750.00 -0.2612E+00  0.1573E+01  0.0000E+00  0.0000E+00
 3800.00 -0.2631E+00  0.1578E+01  0.0000E+00  0.0000E+00
 3850.00 -0.2650E+00  0.1584E+01  0.0000E+00  0.0000E+00
 3900.00 -0.2660E+00  0.1591E+01  0.0000E+00  0.0000E+00
 3950.00 -0.2667E+00  0.1599E+01  0.0000E+00  0.0000E+00
 4000.00 -0.2674E+00  0.1607E+01  0.0000E+00  0.0000E+00

