0.888889 30
0 0 1.01206
0 30 1.01206
0 60 1.01206
0 90 1.01206
0.888889 0 1.01189
0.888889 30 1.01197
0.888889 60 1.01206
0.888889 90 1.01208
1.77778 0 1.0113
1.77778 30 1.01188
1.77778 60 1.01205
1.77778 90 1.01207
2.66667 0 1.01024
2.66667 30 1.01211
2.66667 60 1.01223
2.66667 90 1.01232
3.55556 0 1.00931
3.55556 30 1.01271
3.55556 60 1.01308
3.55556 90 1.01347
4.44444 0 1.00893
4.44444 30 1.01353
4.44444 60 1.01473
4.44444 90 1.01556
5.33333 0 1.00885
5.33333 30 1.01414
5.33333 60 1.01647
5.33333 90 1.01765
6.22222 0 1.00884
6.22222 30 1.01363
6.22222 60 1.01641
6.22222 90 1.0176
7.11111 0 1.00884
7.11111 30 1.01181
7.11111 60 1.01379
7.11111 90 1.01456
8 0 1.00884
8 30 1.01004
8 60 1.01088
8 90 1.0112
8.88889 0 1.00884
8.88889 30 1.00917
8.88889 60 1.00941
8.88889 90 1.0095
9.77778 0 1.00884
9.77778 30 1.00891
9.77778 60 1.00897
9.77778 90 1.00899
10.6667 0 1.00884
10.6667 30 1.00886
10.6667 60 1.00887
10.6667 90 1.00887
11.5556 0 1.00884
11.5556 30 1.00884
11.5556 60 1.00885
11.5556 90 1.00885
12.4444 0 1.00884
12.4444 30 1.00884
12.4444 60 1.00884
12.4444 90 1.00884
13.3333 0 1.00884
13.3333 30 1.00884
13.3333 60 1.00884
13.3333 90 1.00884
14.2222 0 1.00884
14.2222 30 1.00884
14.2222 60 1.00884
14.2222 90 1.00884
15.1111 0 1.00884
15.1111 30 1.00884
15.1111 60 1.00884
15.1111 90 1.00884
16 0 1.00884
16 30 1.00884
16 60 1.00884
16 90 1.00884
