Measurement			
2			
Q2			
1.8			
W			
1.25			
Ps			
300			
Bin	F2n*Pp	StErr	SysErr
0.475	0.084108	0.00144	0.012231
0.525	0.089941	0.001504	0.013079
0.575	0.107266	0.001804	0.015598
0.625	0.117313	0.002073	0.01706
0.675	0.1322	0.002435	0.019224
End			
Measurement			
8			
Q2			
2.8			
W			
1.25			
Ps			
300			
Bin	F2n*Pp	StErr	SysErr
-0.975	0	0	0.000607
-0.925	0	0	0.000625
-0.875	0	0	0.000643
-0.825	-0.000787	0	0.000666
-0.775	0.005194	0.001998	0.000908
-0.725	0.005516	0.001439	0.000962
-0.675	0.002902	0.000893	0.00083
-0.625	0.004926	0.001108	0.001011
-0.575	0.008519	0.001361	0.00145
-0.525	0.00844	0.001384	0.001373
-0.475	0.007254	0.001268	0.001206
-0.425	0.007893	0.001365	0.001335
-0.375	0.007412	0.001207	0.001271
-0.325	0.008338	0.001198	0.001448
-0.275	0.008112	0.001192	0.001426
-0.225	0.008123	0.001152	0.00145
-0.175	0.006939	0.001067	0.001295
-0.125	0.006092	0.000927	0.001266
-0.075	0.006084	0.000904	0.00131
-0.025	0.005835	0.000889	0.001307
0.025	0.006938	0.000949	0.001388
0.075	0.007381	0.000962	0.001454
0.125	0.005495	0.000859	0.001362
0.175	0.006351	0.001027	0.001456
0.225	0.006761	0.001018	0.001468
0.275	0.005447	0.000897	0.001433
0.325	0.007291	0.001209	0.001613
0.375	0.007238	0.001222	0.001633
0.425	0.009506	0.001439	0.001873
0.475	0.009226	0.001508	0.001867
0.525	0.009169	0.001436	0.001884
0.575	0.00952	0.001427	0.001943
0.625	0.007569	0.001307	0.001791
0.675	0.008544	0.001365	0.001904
End			
Measurement			
9			
Q2			
2.8			
W			
1.5			
Ps			
300			
Bin	F2n*Pp	StErr	SysErr
-0.975	0	0	0.000769
-0.925	0	0	0.000792
-0.875	0	0	0.000814
-0.825	0	0	0.000836
-0.775	0.004826	0.001889	0.000915
-0.725	0.004027	0.001287	0.000924
-0.675	0.006849	0.001221	0.000992
-0.625	0.006959	0.000984	0.001018
-0.575	0.007765	0.001092	0.001123
-0.525	0.003875	0.000768	0.001022
-0.475	0.008013	0.001068	0.001148
-0.425	0.007707	0.000944	0.001147
-0.375	0.00732	0.000926	0.001175
-0.325	0.008361	0.000938	0.001234
-0.275	0.009316	0.000903	0.001346
-0.225	0.008193	0.000864	0.001283
-0.175	0.008822	0.000887	0.001338
-0.125	0.009596	0.000854	0.001413
-0.075	0.007484	0.000807	0.001386
