	-0.9	1.239	0.074	0.167				
	-0.7	1.251	0.058	0.167				
	-0.5	1.254	0.054	0.165				
	-0.3	1.207	0.049	0.158				
	-0.1	1.122	0.047	0.149				
	0.1	1.281	0.051	0.168				
	0.3	1.099	0.052	0.148				
	0.5	1.336	0.057	0.176				
	0.7	1.459	0.06	0.188				
	0.9	1.74	0.079	0.227				
	-0.9	1.46	0.06	0.193				
	-0.7	1.197	0.054	0.159				
	-0.5	1.253	0.053	0.164				
	-0.3	1.162	0.049	0.152				
	-0.1	1.187	0.048	0.155				
	0.1	1.222	0.05	0.161				
	0.3	1.199	0.052	0.157				
	0.5	1.334	0.054	0.172				
	0.7	1.51	0.06	0.194				
	0.9	1.534	0.06	0.197				
	-0.9	1.301	0.065	0.175				
	-0.7	1.286	0.066	0.173				
	-0.5	1.305	0.061	0.173				
	-0.3	1.224	0.059	0.162				
	-0.1	1.248	0.06	0.164				
	0.1	1.09	0.059	0.147				
	0.3	1.15	0.059	0.153				
	0.5	1.372	0.062	0.176				
	0.7	1.299	0.065	0.167				
	0.9	1.498	0.067	0.192				
	-0.9	1.817	0.106	0.247				
	-0.7	1.428	0.093	0.194				
	-0.5	1.288	0.091	0.176				
	-0.3	1.26	0.084	0.17				
	-0.1	0.967	0.077	0.13				
	0.1	1.21	0.079	0.16				
	0.3	1.181	0.081	0.157				
	0.5	1.379	0.085	0.178				
	0.7	1.341	0.087	0.173				
	0.9	1.521	0.087	0.196				
	-0.9	1.125	0.055	0.148				
	-0.7	1.066	0.039	0.14				
	-0.5	1.134	0.035	0.148				
	-0.3	1.075	0.032	0.141				
	-0.1	1.052	0.03	0.138				
	0.1	1.108	0.031	0.146				
	0.3	1.093	0.033	0.144				
	0.5	1.038	0.035	0.138				
	0.7	1.191	0.041	0.156				
	0.9	1.332	0.057	0.176				
	-0.9	1.222	0.042	0.159				
	-0.7	1.185	0.037	0.155				
	-0.5	1.15	0.034	0.15				
	-0.3	1.07	0.032	0.14				
	-0.1	1.073	0.032	0.141				
	0.1	1.046	0.032	0.138				
	0.3	1.017	0.033	0.135				
	0.5	1.074	0.035	0.142				
	0.7	1.144	0.039	0.15				
	0.9	1.165	0.041	0.152				
	-0.9	1.306	0.047	0.169				
	-0.7	1.124	0.041	0.147				
	-0.5	1.143	0.04	0.151				
	-0.3	1.005	0.038	0.133				
	-0.1	0.986	0.037	0.131				
	0.1	0.976	0.038	0.13				
	0.3	1.055	0.039	0.141				
	0.5	1.102	0.042	0.146				
	0.7	1.034	0.042	0.136				
	0.9	1.24	0.047	0.162				
	-0.9	1.3	0.063	0.166				
	-0.7	1.227	0.056	0.16				
	-0.5	1.26	0.056	0.167				
	-0.3	1.027	0.054	0.137				
	-0.1	1.028	0.053	0.138				
	0.1	1.024	0.052	0.137				
	0.3	0.888	0.05	0.12				
	0.5	1.135	0.056	0.152				
	0.7	1.202	0.058	0.159				
	0.9	1.504	0.066	0.198				
	-0.9	1.148	0.055	0.135				
	-0.7	1.043	0.03	0.121				
	-0.5	1.053	0.025	0.123				
	-0.3	1.03	0.023	0.121				
	-0.1	1.04	0.022	0.123				
	0.1	1.059	0.023	0.127				
	0.3	1.039	0.024	0.127				
	0.5	1.085	0.028	0.135				
	0.7	1.181	0.033	0.149				
	0.9	1.138	0.051	0.147				
	-0.9	1.158	0.034	0.133				
	-0.7	1.089	0.026	0.125				
	-0.5	1.068	0.024	0.124				
	-0.3	1	0.024	0.117				
	-0.1	1.007	0.024	0.12				
	0.1	1.005	0.024	0.122				
	0.3	1.029	0.025	0.127				
	0.5	1.033	0.026	0.129				
	0.7	1.09	0.03	0.138				
	0.9	1.108	0.035	0.142				
	-0.9	1.242	0.036	0.142				
	-0.7	1.129	0.029	0.13				
	-0.5	1.078	0.028	0.125				
	-0.3	0.965	0.028	0.113				
	-0.1	0.972	0.028	0.116				
	0.1	0.867	0.028	0.106				
	0.3	0.945	0.029	0.118				
	0.5	1.006	0.03	0.127				
	0.7	1.085	0.033	0.139				
	0.9	1.235	0.039	0.161				
	-0.9	1.277	0.049	0.146				
	-0.7	1.234	0.042	0.142				
	-0.5	1.13	0.04	0.131				
	-0.3	0.961	0.038	0.113				
	-0.1	0.874	0.038	0.105				
	0.1	0.863	0.038	0.107				
	0.3	0.949	0.04	0.12				
	0.5	1.038	0.041	0.133				
	0.7	1.278	0.047	0.166				
	0.9	1.372	0.052	0.181				
	-0.9	1.058	0.047	0.119				
	-0.7	1.036	0.023	0.117				
	-0.5	1.032	0.018	0.116				
	-0.3	1.038	0.016	0.117				
	-0.1	1.02	0.016	0.115				
	0.1	1.022	0.016	0.115				
	0.3	1.051	0.017	0.118				
	0.5	1.072	0.019	0.121				
	0.7	1.067	0.024	0.121				
	0.9	1.189	0.046	0.137				
	-0.9	1.194	0.027	0.135				
	-0.7	1.073	0.018	0.121				
	-0.5	1.061	0.017	0.119				
	-0.3	0.955	0.017	0.108				
